tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,match_title,join_key,averageRating,numVotes
tt0101329,movie,An American Tail: Fievel Goes West,An American Tail: Fievel Goes West,0,1991,75,"Adventure,Animation,Comedy",An American Tail: Fievel Goes West,anamericantailfievelgoeswest|1991,6.5,30273.0
tt0102058,movie,Out of Life,Hors la vie,0,1991,97,"Crime,Drama,War",Out of Life,outoflife|1991,6.8,543.0
tt0102065,movie,House Party 2,House Party 2,0,1991,94,"Comedy,Drama,Music",House Party 2,houseparty2|1991,5.3,7457.0
tt0102266,movie,The Last Boy Scout,The Last Boy Scout,0,1991,105,"Action,Comedy,Crime",The Last Boy Scout,thelastboyscout|1991,7.0,120894.0
tt0102315,movie,Listen Up: The Lives of Quincy Jones,Listen Up: The Lives of Quincy Jones,0,1990,115,"Documentary,Music",Listen Up: The Lives of Quincy Jones,listenupthelivesofquincyjones|1990,6.0,230.0
tt0102492,movie,My Girl,My Girl,0,1991,102,"Comedy,Drama,Family",My Girl,mygirl|1991,6.9,98263.0
tt0102510,movie,The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,0,1991,85,"Comedy,Crime",The Naked Gun 2½: The Smell of Fear,thenakedgun212thesmelloffear|1991,6.9,141771.0
tt0102744,movie,Quigley Down Under,Quigley Down Under,0,1990,119,"Action,Adventure,Drama",Quigley Down Under,quigleydownunder|1990,6.9,27372.0
tt0102958,movie,Love in the Time of Hysteria,Sólo con tu pareja,0,1991,94,"Comedy,Romance",Sólo con tu pareja,solocontupareja|1991,6.8,4586.0
tt0103060,movie,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,0,1991,88,"Action,Adventure,Comedy",Teenage Mutant Ninja Turtles II: The Secret of the Ooze,teenagemutantninjaturtlesiithesecretoftheooze|1991,6.0,64796.0
tt0103150,movie,Escape from the 'Liberty' Cinema,Ucieczka z kina 'Wolnosc',0,1990,92,"Comedy,Drama,Fantasy",Escape from the 'Liberty' Cinema,escapefromthelibertycinema|1990,7.1,1346.0
tt0103671,movie,American Me,American Me,0,1992,125,"Biography,Crime,Drama",American Me,americanme|1992,7.1,11577.0
tt0103772,movie,Basic Instinct,Basic Instinct,0,1992,127,"Drama,Mystery,Romance",Basic Instinct,basicinstinct|1992,7.1,244326.0
tt0103783,movie,Bebe's Kids,Bebe's Kids,0,1992,72,"Animation,Comedy,Fantasy",Bebe's Kids,bebeskids|1992,5.9,5862.0
tt0103786,movie,Beethoven,Beethoven,0,1992,87,"Comedy,Drama,Family",Beethoven,beethoven|1992,5.8,81577.0
tt0103919,movie,Candyman,Candyman,0,1992,99,"Horror,Thriller",Candyman,candyman|1992,6.8,109579.0
tt0103994,movie,Like Water for Chocolate,Como agua para chocolate,0,1992,105,"Drama,Romance",Like Water for Chocolate,likewaterforchocolate|1992,7.1,20548.0
tt0104036,movie,The Crying Game,The Crying Game,0,1992,112,"Crime,Drama,Romance",The Crying Game,thecryinggame|1992,7.2,63429.0
tt0104057,movie,Daughters of the Dust,Daughters of the Dust,0,1991,113,"Drama,History,Romance",Daughters of the Dust,daughtersofthedust|1991,6.6,3842.0
tt0104145,movie,Casino Tycoon,Do sing dai hang: San gor chuen kei,0,1992,133,"Action,Crime,Drama",Casino Tycoon,casinotycoon|1992,5.9,553.0
tt0104454,movie,Howards End,Howards End,0,1992,142,"Drama,Romance",Howards End,howardsend|1992,7.3,38769.0
tt0104685,movie,The Last Days of Chez Nous,The Last Days of Chez Nous,0,1992,96,"Comedy,Drama,Romance",The Last Days of Chez Nous,thelastdaysofcheznous|1992,6.5,1106.0
tt0105104,movie,Passenger 57,Passenger 57,0,1992,84,"Action,Crime,Thriller",Passenger 57,passenger57|1992,5.9,53692.0
tt0105112,movie,Patriot Games,Patriot Games,0,1992,117,"Action,Thriller",Patriot Games,patriotgames|1992,6.8,128630.0
tt0105385,movie,"Justice, My Foot!",Sam sei goon,0,1992,102,"Action,Comedy,Crime","Justice, My Foot!",justicemyfoot|1992,6.8,3456.0
tt0105488,movie,Strictly Ballroom,Strictly Ballroom,0,1992,94,"Comedy,Drama,Music",Strictly Ballroom,strictlyballroom|1992,7.2,30980.0
tt0105690,movie,Under Siege,Under Siege,0,1992,103,"Action,Thriller",Under Siege,undersiege|1992,6.5,103077.0
tt0106375,movie,Beethoven's 2nd,Beethoven's 2nd,0,1993,89,"Comedy,Family,Romance",Beethoven's 2nd,beethovens2nd|1993,5.0,31541.0
tt0106538,movie,The Mad Monk,Chai Gung,0,1993,89,"Comedy,Fantasy",The Mad Monk,themadmonk|1993,6.2,2477.0
tt0106552,movie,The Bare-Footed Kid,Chik geuk siu ji,0,1993,90,"Action,Drama",The Bare-Footed Kid,thebarefootedkid|1993,6.4,1107.0
tt0106578,tvMovie,Class of '61,Class of '61,0,1993,95,"Action,Drama",Class of '61,classof61|1993,5.5,514.0
tt0106582,movie,Cliffhanger,Cliffhanger,0,1993,113,"Action,Adventure,Thriller",Cliffhanger,cliffhanger|1993,6.5,148660.0
tt0106661,movie,A Dangerous Woman,A Dangerous Woman,0,1993,102,"Drama,Romance",A Dangerous Woman,adangerouswoman|1993,5.7,1976.0
tt0106701,movie,Dennis the Menace,Dennis the Menace,0,1993,94,"Comedy,Family",Dennis the Menace,dennisthemenace|1993,5.7,69323.0
tt0106965,movie,Free Willy,Free Willy,0,1993,112,"Adventure,Drama,Family",Free Willy,freewilly|1993,6.1,89502.0
tt0107060,movie,Gumrah,Gumrah,0,1993,149,"Action,Crime,Drama",Gumrah,gumrah|1993,6.1,1150.0
tt0107206,movie,In the Line of Fire,In the Line of Fire,0,1993,128,"Action,Crime,Drama",In the Line of Fire,inthelineoffire|1993,7.2,123538.0
tt0107311,movie,Khalnayak,Khal Nayak,0,1993,190,"Action,Adventure,Crime",Khalnayak,khalnayak|1993,7.1,4246.0
